codaz;lat;lon;nord;est;hsize
240BG006/1;45,73049174;9,738999978;5064383;1557499;0
240BG007/1;45,72048431;9,731800861;5063266;1556949;3
240BG011/1;45,72464492;9,74261105;5063736;1557786;0
240BG015/1;45,7293314;9,75813361;5064268;1558989;1
240BG022/1;45,72606947;9,74361943;5063895;1557863;1
240BG028/1;45,72730829;9,752374644;5064039;1558543;9
240BG048/1;45,72969517;9,75771016;5064390;1558959;1
241BG001/1;45,91223234;9,935367696;5084735;1572542;3
241BG001/2;45,91223234;9,935367696;5084735;1572542;24
241BG002/1;45,90956345;9,933749923;5084437;1572420;6
241BG004/1;45,91492718;9,929391248;5085029;1572075;26
241BG007/1;45,90035555;9,927175909;5083408;1571922;51
241BG010/1;45,91222632;9,936102542;5084735;1572599;6
241BG010/4;45,91222632;9,936102542;5084735;1572599;0
241BG011/1;45,90010608;9,926862375;5083380;1571898;58
241BG023/4;45,90866331;9,92675463;5084413;1571882;3
242BG007/1;45,673747;9,916161994;5058221;1571356;1
242BG010/1;45,67305542;9,930465923;5058157;1572471;0
242BG015/1;45,67167437;9,92553105;5058081;1572092;0
242BG019/4;45,66457408;9,940684797;5057224;1573278;15
242BG020/1;45,6772154;9,93026519;5058619;1572450;2
242BG021/3;45,67404091;9,927709026;5058264;1572255;0
242BG023/6;45,67999574;9,944641057;5058941;1573566;0
242BG027/1;45,66800209;9,92553471;5057673;1572097;0
242BG030/1;45,67526682;9,92748532;5058400;1572236;0
242BG032/1;45,67478689;9,931162236;5058350;1572523;2
242BG032/2;45,67478689;9,931162236;5058350;1572523;0
242BG034/3;45,67641607;9,93776307;5058537;1573035;0
242BG034/1;45,67641607;9,93776307;5058537;1573035;0
242BG035/1;45,67648234;9,92964959;5058537;1572403;6
242BG035/2;45,67648234;9,92964959;5058537;1572403;0
242BG044/2;45,68563928;9,94354171;5059567;1573473;0
242BG047/1;45,67341484;9,927261094;5058275;1572224;0
243BG001/1;45,99541423;10,09820714;5094138;1585044;5
243BG004/1;46,00428281;10,11275714;5095139;1586157;36
243BG006/4;46,00334799;10,05372989;5094973;1581588;32
243BG007/1;46,00267649;10,05432414;5094899;1581635;32
243BG010/1;46,00328622;10,10972798;5095025;1585924;40
243BG012/1;45,99779902;10,07646891;5094380;1583357;0
243BG016/2;45,99416792;10,07402257;5093974;1583173;52
243BG017/1;46,00577821;10,11446613;5095307;1586287;74
243BG020/1;46,00541637;10,11280569;5095265;1586159;51
243BG023/1;46,00051882;10,08390861;5094690;1583929;0
243BG027/1;45,99708168;10,07618382;5094300;1583336;0
243BG029/1;45,99636771;10,08316902;5094228;1583878;1
